,fechas_date_month,appraisal
0,2017-07-01,1.0
1,2017-08-01,0.0
2,2017-09-01,6.0
3,2017-10-01,16.0
4,2017-11-01,7.0
5,2017-12-01,5.0
6,2018-01-01,4.0
7,2018-02-01,2.0
8,2018-03-01,31.0
9,2018-04-01,35.0
10,2018-05-01,79.0
11,2018-06-01,71.0
12,2018-07-01,66.0
13,2018-08-01,96.0
14,2018-09-01,72.0
15,2018-10-01,111.0
16,2018-11-01,86.0
17,2018-12-01,73.0
18,2019-01-01,95.0
19,2019-02-01,84.0
20,2019-03-01,59.0
21,2019-04-01,77.0
22,2019-05-01,96.0
23,2019-06-01,111.0
24,2019-07-01,124.0
25,2019-08-01,127.0
26,2019-09-01,119.0
27,2019-10-01,98.0
28,2019-11-01,102.0
29,2019-12-01,80.0
30,2020-01-01,124.0
31,2020-02-01,91.0
32,2020-03-01,56.0
33,2020-04-01,2.0
34,2020-05-01,19.0
35,2020-06-01,18.0
36,2020-07-01,112.0
37,2020-08-01,130.0
38,2020-09-01,84.0
39,2020-10-01,62.0
40,2020-11-01,55.0
41,2020-12-01,81.0
42,2021-01-01,121.0
43,2021-02-01,121.0
44,2021-03-01,147.0
45,2021-04-01,151.0
46,2021-05-01,108.0
47,2021-06-01,135.0
48,2021-07-01,77.0
49,2021-08-01,52.0
50,2021-09-01,76.0
